"";"classe 1";"classe 2";"classe 3";"classe 4"
"determinar";0,118;0,138;0,654;0,931
"data";0,585;0,114;0,07;0,001
"constar";0,306;0,442;0,091;0,002
"brasileiro";0,073;0,853;0;0,003
"termo";0,472;0,281;0,738;0,282
"quebra";0,109;0,007;0,054;0,151
"pr";0;0,538;0,009;0,145
"partir";0,536;0,401;0,412;0,433
"liberdade";0,502;0,168;0;0,012
"fundamental";0,022;0,401;0;0,004
"fase";0;0,442;0,25;0,087
"empresa";0,032;0,487;0,007;0
"discutir";0,362;0,095;0,654;0,931
"cpp";0,576;0,888;0,025;0,066
"cf";0,022;0,401;0;0,191
"verdadeiro";0,048;0,128;0,091;0,241
"ressaltar";0,043;0,807;0,585;0,028
"proferido";0;0,897;0,038;0,037
"presidente";0,867;0,395;0,124;0,022
"política";0,055;0;0,469;0,073
"pedido";0,203;0,228;0,029;0,059
"palestra";0,026;0,125;0,005;0
"legal";0,259;0,114;0,003;0,433
"ilegalidade";0,127;0,897;0,421;0,037
"elemento";0,627;0,067;0,781;0,145
"dje";0,675;0,276;0,961;0,231
"bem";0,219;0;0,076;0,938
"voto";0,011;0,122;0,091;0,089
"razão";0,182;0,594;0,614;0,281
"querer";0,038;0,538;0,764;0,045
"prestar";0,203;0,228;0,412;0,6
"número";0,038;0,152;0,009;0
"novo";0,427;0,152;0,151;0,002
"jurisdicional";0,011;0,352;0,944;0,089
"fossar";0,995;0,754;0,195;0,281
"ficar";0,038;0,152;0,781;0,002
"demonstrar";0,879;0;0,6;0,016
"conhecimento";0,399;0,186;0,016;0,01
"conduzir";0,219;0,657;0,001;0,073
"amplo";0,744;0,487;0,073;0,112
"adotar";0;0,538;0,781;0,009
"órgão";0,001;0,569;0,1;0,097
"telefonia";0,038;0,152;0,009;0
"revelar";0,466;0,004;0,526;0,037
"realizar";0,125;0,186;0,469;0,243
"probatório";0,013;0,569;0,734;0,021
"princípio";0,038;0,152;0;0,042
"premiar";0,002;0,395;0,564;0,121
"ponto";0,047;0,168;0,195;0,631
"pessoal";0,032;0,001;0,654;0,931
"pena";0,995;0,168;0,27;0,905
"parcialidade";0,043;0,093;0,412;0,028
"jurídico";0,265;0,569;0,335;0,719
"jerusa";0,693;0,206;0,022;0
"final";0,214;0,888;0,068;0,548
"devido";0,046;0,168;0;0,012
"deixar";0,627;0,152;0,391;0,152
"cumprir";0,877;0,067;0,151;0,783
"cargo";0,37;0,063;0,564;0,121
"república";0,744;0,137;0,734;0,313
"praticar";0,077;0,569;0,734;0,097
"possibilidade";0,591;0,663;0,009;0,016
"país";0,026;0,186;0,921;0,243
"operador";0,151;0,152;0,009;0
"meio";0,627;0,067;0,781;0,145
"matéria";0,733;0,888;0,536;0,306
"martins";0,046;0,168;0,012;0
"manter";0;0,538;0,044;0,379
"investigado";0,008;0,594;0,923;0,055
"fundamento";0,511;0,754;0,27;0,055
"examinar";0,002;0,314;0,312;0,306
"determinado";0,693;0,137;0,734;0,719
"democrático";0,055;0,657;0;0,016
"decidir";0,151;0,001;0,781;0,379
"contraditório";0,055;0,186;0;0,073
"circunstância";0,733;0,888;0,152;0,066
"seguinte";0,127;0,897;0,038;0,433
"rel";0,341;0,005;0,961;0,231
"regra";0,219;0,657;0;0,016
"prever";0,879;0,663;0,049;0,016
"oportunidade";0,203;0,807;0,585;0,129
"ocorrer";0,295;0,206;0,322;0,347
"necessário";0,388;0,377;0,127;0,171
"modelo";0,219;0,186;0;0,073
"melhor";0,08;0,228;0,133;0
"eventual";0,097;0,253;0,003;0,515
"eleitoral";0,08;0;0,219;0,028
"denúncia";0,693;0,728;0,022;0,004
"delação";0,341;0,511;0,961;0,202
"código";0,265;0,206;0;0,021
"condenação";0,077;0,016;0,322;0,021
"colocar";0,08;0;0,133;0,6
"cnj";0,388;0,058;0,038;0,133
"alegação";0,733;0,198;0,312;0,832
"vista";0,388;0,253;0,003;0,171
"violar";0,591;0,657;0,001;0,016
"utilização";0,265;0,137;0,755;0,719
"tratar";0,144;0,888;0,025;0,306
"transcrever";0,388;0,897;0,176;0,026
"superior";0,002;0,511;0,234;0,231
"sociedade";0,066;0,569;0,755;0,347
"sede";0,867;0,395;0,124;0,022
"recurso";0,271;0;0,763;0,166
"posição";0,026;0,663;0,25;0,243
"nacional";0,08;0;0,891;0,402
"março";0,077;0,728;0,022;0,347
"maior";0,265;0,016;0,335;0,097
"levantamento";0,014;0,448;0,169;0,754
"judiciário";0,043;0,093;0,133;0,129
"internacional";0,705;0,759;0,068;0,089
"instrução";0,214;0,314;0,152;0,066
"independência";0,472;0,997;0,009;0,049
"importante";0,466;0,253;0,932;0,947
"dallagnol";0,591;0,657;0,016;0,001
"conteúdo";0,02;0,253;0,932;0,171
"conhecido";0,93;0,023;0,169;0,754
"conceder";0,675;0,276;0,234;0,969
"âmbito";0,002;0,897;0,526;0,037
"welter";0,066;0,728;0,022;0
"uso";0,02;0,253;0,526;0,515
"trazer";0,947;0,253;0,038;0,003
"resultado";0,32;0,228;0,001;0,129
"possível";0,947;0,377;0,526;0,947
"petição";0,32;0,228;0,133;0,001
"passar";0,812;0,807;0,219;0,402
"notícia";0,32;0,228;0,029;0
"limite";0,08;0;0,219;0,028
"indicação";0,901;0,001;0,234;0,228
"imparcial";0,066;0,206;0;0,021
"grave";0,08;0,008;0,585;0,402
"exemplo";0,08;0,228;0,219;0,228
"considerar";0,32;0,807;0,219;0,875
"comportamento";0,097;0;0,421;0,037
"colaborador";0,553;0,759;0,343;0,089
"cautelar";0,011;0,759;0,091;0,411
"aceitar";0,271;0,448;0,439;0,448
"único";0,08;0,473;0,056;0,402
"último";0,07;0,997;0,738;0,049
"versão";0,203;0,228;0,412;0,6
"representar";0,32;0,807;0,056;0,402
"ramal";0,08;0,228;0,029;0
"prático";0,203;0,228;0,219;0,129
"produção";0,002;0,314;0,845;0,066
"precedente";0,341;0,276;0,197;0,231
"prado";0,118;0,281;0,051;0
"policial";0,947;0,897;0,932;0,947
"partido";0,118;0,001;0,051;0,282
"ordenar";0,867;0,001;0,564;0,121
"objetivo";0,333;0,997;0,272;0,049
"lewandowski";0,002;0,511;0,234;0,231
"indicar";0,576;0,198;0,312;0,548
"impedir";0,576;0,015;0,536;0,066
"ilegal";0,901;0,032;0,234;0,657
"expor";0,733;0,888;0,845;0,832
"existência";0,08;0,228;0,009;0,875
"encaminhar";0,947;0,253;0,176;0,026
"diverso";0,02;0,897;0,176;0,515
"declarar";0,214;0,015;0,312;0,066
"controlo";0,901;0,997;0,272;0,228
"condição";0,901;0,281;0,009;0,049
"condenatório";0,07;0,284;0,669;0,049
"concreto";0,472;0,032;0,272;0,049
"caráter";0,472;0,284;0,272;0,228
"busca";0,466;0,253;0,932;0,947
"base";0,218;0,395;0,178;0,712
"autorização";0,097;0,253;0,176;0
"atuar";0,127;0,377;0,932;0,037
"atingir";0,097;0,253;0,421;0,133
"apresentar";0,466;0,897;0,176;0,433
"anterior";0,733;0,888;0,312;0,548
"época";0,02;0,897;0,176;0,515
"vênias";0,202;0,448;0,169;0,448
"via";0,218;0,613;0,701;0,712
"valer";0,144;0,888;0,068;0,002
"trecho";0,117;0,122;0,091;0,411
"tender";0,097;0,253;0;0,171
"tb";0,118;0,281;0,051;0
"sítio";0,097;0,253;0,038;0
"sugerir";0,02;0,253;0,176;0,947
"separação";0,097;0,253;0;0,037
"respeito";0,947;0,253;0,127;0,515
"reportagem";0,705;0,759;0,091;0,071
"receber";0,127;0,897;0,176;0,947
"realização";0,008;0,997;0,669;0,049
"realidade";0,097;0,897;0,176;0,003
"procedimento";0,127;0,058;0,176;0,171
"presente";0,271;0,023;0,763;0,754
"prazo";0,177;0,352;0,944;0,071
"paludo";0,118;0,281;0,051;0
"obtido";0,002;0,253;0,932;0,037
"narrativa";0,576;0,888;0,152;0,306
"mensagem";0,901;0,281;0,234;0,066
"manifestar";0,032;0,198;0,068;0,306
"locomoção";0,177;0,352;0;0,089
"laura";0,118;0,997;0,051;0,001
"jornal";0,576;0,888;0,068;0,026
"januario";0,118;0,281;0,051;0
"informar";0,097;0,253;0,038;0
"histórico";0,002;0,613;0,124;0,121
"gravação";0,901;0,281;0,063;0,228
"governo";0,867;0,001;0,564;0,121
"força";0,097;0,253;0,127;0,433
"fonte";0,576;0,314;0,312;0,026
"filho";0,341;0,511;0,197;0,969
"estabelecer";0,097;0,897;0,003;0,171
"esquema";0,177;0,759;0,091;0,007
"encerrar";0,553;0,352;0,343;0,411
"ed";0,144;0,314;0;0,066
"dilma";0,553;0,759;0,419;0,957
"depender";0,388;0,253;0,932;0,133
"continuar";0,388;0,253;0,176;0,003
"consistir";0,117;0,759;0,419;0,411
"conjunto";0,93;0,448;0,064;0,166
"conduta";0,472;0,997;0,009;0,049
"civil";0,144;0,888;0,025;0,306
"chamado";0;0,253;0,176;0,037
"buscar";0,472;0,281;0,001;0,049
"aurélio";0,576;0,314;0,152;0,832
"assentar";0,218;0,395;0,001;0,121
"artigo";0,218;0,395;0,701;0,184
"apresentação";0,014;0,448;0,169;0,754
"apontar";0,472;0;0,234;0,228
"apf";0,144;0,314;0,068;0
"análise";0,576;0,015;0,536;0,066
"anselmo";0,218;0,395;0,124;0,001
"ano";0,002;0,377;0,176;0,037
"admitir";0,576;0;0,312;0,306
"absoluto";0;0,253;0,526;0,037
"áudio";0,553;0,352;0,091;0,071
"vir";0,008;0,281;0,051;0,752
"valor";0,901;0,997;0,738;0,657
"tornar";0,733;0,198;0,312;0,832
"tema";0,472;0,281;0,063;0,657
"suficiente";0,472;0,281;0,272;0,752
"situação";0,341;0,511;0,011;0,231
"reclamante";0,07;0,281;0,051;0,282
"recente";0,733;0,314;0,312;0,158
"real";0,07;0,284;0,234;0,228
"publicar";0,472;0,281;0,051;0,001
"principal";0,675;0,511;0,234;0,202
"precisar";0,472;0,997;0,669;0,282
"pgr";0,472;0,284;0,051;0,066
"petrobras";0,472;0;0,234;0,228
"percepção";0,214;0,198;0,845;0,066
"papel";0,733;0,888;0,152;0,066
"ocasião";0,705;0,122;0,944;0,411
"necessidade";0,93;0,448;0,064;0,166
"mundo";0,472;0,284;0,738;0,657
"mero";0,37;0,395;0,178;0,121
"mencionar";0,032;0,198;0,312;0,066
"manifestação";0,002;0,314;0,068;0,832
"linha";0,118;0,281;0,063;0,752
"liminar";0,014;0,45;0,169;0,166
"levar";0,271;0,45;0,763;0,448
"legislação";0,07;0,281;0,738;0,228
"interrogatório";0,144;0,314;0,002;0,306
"imposto";0,705;0,122;0,343;0,089
"ideia";0,118;0,281;0,669;0,009
"havido";0,214;0,314;0,312;0,548
"grau";0,675;0,511;0,961;0,969
"face";0,214;0,314;0,152;0,066
"exigir";0,472;0,032;0,738;0,228
"evidente";0,177;0,122;0,068;0,089
"essencial";0,118;0,281;0,001;0,228
"entender";0,705;0,352;0,091;0,007
"encontrar";0,576;0,888;0,068;0,026
"eletrônico";0,341;0,511;0,961;0,202
"divulgação";0,576;0,314;0,536;0,548
"desvio";0,177;0;0,419;0,411
"definir";0,118;0,281;0,009;0,657
"defender";0,733;0,888;0,152;0,066
"cumprimento";0;0,281;0,234;0,049
"condenar";0,901;0,284;0,738;0,228
"comunicação";0,901;0,997;0,234;0,282
"combate";0,901;0,281;0,009;0,049
"chegar";0,553;0,352;0,419;0,352
"celular";0,472;0,281;0,051;0,001
"brasil";0,576;0,314;0,152;0,832
"autorizar";0,576;0,314;0,312;0,026
"antecedente";0,118;0,032;0,234;0,282
"analisar";0,341;0,276;0,961;0,969
"alegar";0,576;0;0,068;0,832
"agente";0,576;0,888;0,025;0,066
"afastar";0,705;0,005;0,944;0,089
"acusador";0,472;0,281;0,009;0,228
"vcs";0,144;0,314;0,068;0
"usar";0,144;0,314;0,068;0
"trabalhar";0,177;0,352;0,091;0
"terceiro";0,553;0,352;0,068;0,089
"sustentar";0,117;0,352;0,944;0,411
"soltar";0,144;0,314;0,312;0,002
"russo";0,867;0,395;0,564;0,184
"roberson";0,177;0,352;0,091;0
"restar";0,93;0,448;0,064;0,166
"reclamação";0,675;0,276;0,234;0,969
"projeto";0,576;0,888;0,025;0,066
"preventivo";0,553;0;0,091;0,089
"presunção";0,93;0,448;0,064;0,166
"preso";0,032;0,314;0,536;0,066
"pq";0,144;0,314;0,068;0
"permitir";0,733;0,015;0,312;0,306
"observar";0,553;0,352;0,419;0,352
"objectivo";0,733;0,888;0,152;0,066
"negar";0,05;0,395;0,564;0,555
"mudar";0,218;0,395;0,701;0,184
"mostrar";0,576;0,888;0,845;0,548
"monitoramento";0,93;0,448;0,169;0,067
"mensalão";0,177;0,005;0,944;0,411
"marco";0,867;0,395;0,021;0,121
"ligação";0,576;0,198;0,068;0,158
"jurisprudência";0,733;0,314;0,025;0,066
"intimação";0,576;0,314;0,152;0,832
"interlocutor";0,271;0,448;0,439;0,448
"iniciar";0,202;0,45;0,169;0,754
"independente";0,218;0,613;0,021;0,121
"imprensa";0,218;0,613;0,124;0,022
"ilicitude";0,218;0,613;0,021;0,121
"hipótese";0;0,352;0,419;0,089
"flagrante";0,93;0,448;0,064;0,166
"finalidade";0,705;0;0,419;0,089
"favor";0,117;0,352;0,091;0,352
"familiar";0,032;0,314;0,068;0,548
"existir";0,733;0,314;0,312;0,158
"evidenciar";0,675;0,276;0,234;0,969
"evento";0,705;0,352;0,091;0,007
"específico";0,867;0,063;0,124;0,712
"especial";0,576;0,888;0,152;0,306
"esclarecer";0,576;0,888;0,312;0,158
"episódio";0,37;0,063;0,564;0,121
"doutrina";0,144;0,314;0;0,066
"disputa";0,271;0,45;0,064;0,166
"dirigir";0,218;0,395;0,564;0,022
"direto";0,144;0,888;0,152;0,832
"descrever";0,675;0,511;0,961;0,969
"criticar";0,576;0,888;0,068;0,026
"conducao";0,177;0,352;0,091;0
"concluir";0,144;0,015;0,845;0,832
"coisa";0,144;0,888;0,312;0,026
"bastar";0,705;0,759;0,343;0,411
"ausência";0,867;0,613;0,178;0,121
"ator";0,144;0,314;0;0,066
"atenção";0,37;0,395;0,124;0,184
"atender";0,144;0,888;0,312;0,026
"assinar";0,553;0,759;0,944;0,411
"aspecto";0,867;0,395;0,701;0,712
"apreensão";0,705;0,352;0,091;0,007
"andrey";0,177;0,352;0,091;0
"agir";0,37;0,063;0,564;0,121
"acesso";0;0,352;0,091;0,411
"abuso";0,93;0,45;0,439;0,166
"aberto";0,177;0,352;0,091;0
"vladimir";0,218;0,395;0,124;0,001
"tocar";0,867;0,395;0,178;0,555
"supremo";0,867;0,395;0,021;0,121
"submeter";0,867;0,613;0,701;0,555
"spoofing";0;0,352;0,091;0,089
"sp";0,073;0,511;0,234;0,969
"soltura";0,117;0,005;0,091;0,089
"social";0,177;0,352;0,007;0,411
"silêncio";0,177;0,352;0;0,089
"senhor";0,341;0,511;0,197;0,969
"semana";0,271;0,45;0,169;0,067
"segurança";0,93;0,448;0,064;0,166
"rt";0,177;0,352;0;0,089
"relacionar";0,93;0,448;0,763;0,448
"região";0,117;0,122;0,091;0,411
"prévio";0,117;0,352;0,091;0,352
"prr";0,177;0,759;0,091;0,007
"proteção";0,177;0,352;0;0,089
"promotor";0,867;0,613;0,564;0,712
"produzir";0,05;0,395;0,564;0,555
"previsão";0,867;0,395;0,178;0,555
"prerrogativa";0,177;0,352;0,068;0,957
"polícia";0,553;0,759;0,343;0,089
"perceber";0,705;0;0,091;0,411
"pedro";0,218;0,395;0,564;0,022
"odebrecht";0,117;0,352;0,091;0,352
"obtenção";0,93;0,023;0,763;0,166
"nulidade";0,05;0,395;0,701;0,121
"narrar";0,202;0,448;0,439;0,166
"motivo";0,37;0,063;0,124;0,555
"mendonça";0,177;0,352;0,091;0
"marcelo";0,867;0,001;0,124;0,555
"livre";0,341;0,511;0,011;0,231
"levantar";0,341;0,276;0,961;0,969
"início";0;0,352;0,091;0,411
"inocência";0,271;0,448;0,003;0,166
"indicativo";0,05;0,063;0,124;0,121
"impor";0,341;0,511;0,011;0,231
"impetrar";0,073;0,511;0,234;0,969
"grande";0,705;0,352;0,419;0,071
"geral";0,177;0,352;0,068;0,957
"garantir";0,177;0,122;0,343;0,411
"fundamentar";0,011;0,759;0,091;0,411
"foro";0,177;0,352;0,068;0,957
"extensão";0,117;0,759;0,419;0,411
"exercício";0,177;0,759;0,007;0,089
"esperar";0,177;0,352;0,343;0,352
"envolver";0,37;0,613;0,564;0,555
"enviar";0,177;0,352;0,091;0
"efeito";0,93;0,448;0,064;0,166
"discussão";0,37;0,395;0,178;0,121
"difícil";0,177;0,352;0,419;0,007
"denunciar";0,867;0,395;0,701;0,712
"declaração";0,271;0,45;0,064;0,166
"criminoso";0,177;0,352;0;0,089
"criar";0,553;0,759;0,944;0,411
"crer";0,218;0,395;0,564;0,022
"corroboração";0,867;0,395;0,124;0,022
"contrário";0,341;0,276;0,961;0,969
"contexto";0,218;0;0,564;0,121
"concordar";0,177;0,352;0,091;0
"conclusão";0,705;0,759;0,343;0,411
"comum";0,705;0,352;0,343;0,957
"cometer";0,37;0,613;0,701;0,121
"combinar";0,37;0,395;0,701;0,555
"colher";0,002;0,395;0,564;0,121
"cliente";0,705;0,352;0,944;0,352
"chamar";0,37;0,395;0,564;0,712
"cenário";0,177;0,352;0,007;0,411
"celebrar";0,002;0,511;0,234;0,231
"causa";0,93;0,45;0,439;0,166
"atividade";0,867;0,063;0,124;0,712
"aplicação";0,553;0,352;0,068;0,089
"aplicar";0,177;0,352;0,007;0,411
"antecipar";0,002;0,395;0,124;0,555
"anexo";0,177;0,352;0,091;0
"alegado";0,675;0,511;0,197;0,231
"advertir";0,177;0,352;0,068;0,957
"óbvio";0,93;0,448;0,064;0,166
"voltar";0,675;0,511;0,961;0,969
"visão";0,867;0,613;0,564;0,712
"vincular";0,218;0,395;0,124;0,001
"universidade";0,271;0,448;0,003;0,166
"triplex";0,05;0,395;0,124;0,712
"trf";0,05;0,395;0,124;0,712
"travar";0,218;0,395;0,124;0,001
"titular";0,93;0,448;0,439;0,754
"testemunha";0,05;0,395;0,701;0,121
"tessler";0,218;0,613;0,124;0,022
"tese";0,93;0,448;0,064;0,166
"telegram";0,867;0,395;0,124;0,022
"suspender";0,218;0,063;0,124;0,184
"setembro";0,37;0,395;0,124;0,184
"rs";0,271;0,448;0,169;0,004
"restrição";0,218;0,395;0,001;0,121
"relatório";0,218;0,613;0,124;0,022
"recusar";0,202;0,448;0,439;0,166
"receita";0,218;0,395;0,124;0,001
"razoável";0,218;0,613;0,021;0,121
"ramal_tronco";0,218;0,395;0,124;0,001
"punitivo";0,218;0,395;0,001;0,121
"provar";0,218;0,395;0,021;0,555
"propósito";0,002;0,613;0,124;0,121
"professor";0,341;0,511;0,011;0,231
"preliminar";0,073;0,276;0,234;0,231
"perder";0,218;0,395;0,001;0,121
"partidário";0,218;0,063;0,124;0,184
"ouvir";0,218;0,395;0,178;0,712
"organização";0,218;0,395;0,021;0,555
"obter";0,218;0,395;0,701;0,184
"noticiar";0,341;0,511;0,234;0,012
"noronha";0,218;0,395;0,124;0,001
"mês";0;0,395;0,124;0,121
"mp";0,37;0,395;0,124;0,184
"motivação";0,218;0,613;0,021;0,121
"ligar";0,867;0,395;0,124;0,022
"lembrar";0,271;0,45;0,763;0,448
"kriele";0,218;0,395;0,021;0,555
"justificativo";0,37;0,063;0,124;0,555
"jurisdição";0,202;0,45;0,763;0,166
"julio";0,218;0,395;0,124;0,001
"januário";0,218;0,395;0,124;0,001
"intuito";0,675;0,005;0,234;0,231
"interno";0,93;0,023;0,169;0,754
"incompetência";0,073;0,511;0,961;0,231
"inaceitável";0,341;0,276;0,197;0,231
"imputar";0,218;0,395;0,001;0,121
"imediato";0,341;0,276;0,197;0,231
"herói";0,218;0,613;0,178;0,555
"gente";0,218;0,395;0,124;0,001
"fundamentação";0,202;0,45;0,169;0,754
"folha";0,93;0,448;0,169;0,067
"fevereiro";0,05;0,395;0,124;0,712
"explicar";0,341;0,511;0,234;0,012
"experiência";0,341;0,005;0,234;0,969
"excelente";0,271;0,448;0,169;0,004
"estatal";0,218;0,395;0,001;0,121
"divulgar";0,05;0,395;0,701;0,121
"distinto";0,271;0,448;0,003;0,166
"dignidade_da_pessoa_humana";0,271;0,448;0,003;0,166
"depor";0,271;0,45;0,763;0,448
"definitivo";0,93;0,45;0,439;0,166
"defensivo";0,05;0,395;0,701;0,121
"debate";0,37;0,395;0,701;0,555
"curso";0,002;0,395;0,564;0,121
"crítica";0,37;0,613;0,701;0,121
"confirmar";0,93;0,448;0,169;0,067
"configurar";0,675;0,276;0,961;0,231
"colega";0,271;0,448;0,169;0,004
"citar";0,271;0,45;0,439;0,754
"camila";0,218;0,395;0,124;0,001
"cadastro";0,218;0,395;0,124;0,001
"caber";0,675;0,511;0,234;0,202
"benefício";0,271;0,45;0,763;0,448
"beneficiar";0,218;0,613;0,178;0,555
"atibaia";0,218;0,395;0,124;0,001
"atar";0,218;0,395;0,124;0,001
"apuração";0,37;0,395;0,701;0,555
"apreender";0,05;0,395;0,124;0,712
"apoio";0,93;0,45;0,763;0,754
"admissão";0,867;0,395;0,021;0,121
"acontecer";0,271;0,45;0,763;0,448
"acabar";0,271;0,45;0,763;0,448
"vivo";0,271;0,448;0,169;0,004
"visar";0,271;0,023;0,763;0,754
"vazamento";0,271;0;0,169;0,166
"valoração";0,073;0,511;0,961;0,231
"técnica";0,073;0,276;0,234;0,231
"total";0,271;0,448;0,439;0,448
"titularizado";0,271;0,448;0,169;0,004
"teor";0,341;0,511;0,011;0,231
"tentativa";0,93;0,448;0,439;0,754
"suposto";0,93;0,448;0,169;0,067
"seguir";0;0,448;0,169;0,166
"saída";0,675;0,511;0,234;0,202
"sanção";0,341;0,511;0,011;0,231
"sair";0,675;0,276;0,234;0,969
"revista";0,271;0,45;0,439;0,754
"resposta";0,271;0,45;0,169;0,067
"responsável";0,271;0,448;0,439;0,448
"resolução";0,271;0,448;0,169;0,004
"relatar";0,073;0,511;0,234;0,969
"reiterar";0,202;0,448;0,763;0,754
"regional";0,93;0,023;0,763;0,166
"reforçar";0,341;0,511;0,234;0,012
"reforma";0,341;0,511;0,197;0,969
"reconhecimento";0,675;0,511;0,197;0,231
"reclamar";0,341;0,276;0,961;0,969
"reafirmar";0,675;0,511;0,197;0,231
"publicação";0,341;0,511;0,234;0,012
"pré_processual";0,014;0,448;0,763;0,166
"provocar";0,93;0,45;0,439;0,166
